file	line	value
smali\androidx\appcompat\app\飘花落叶言子世楪苏兰哲.smali	738	https://github.com/google/gson/blob/main/Troubleshooting.md#
smali\androidx\appcompat\widget\飘花落叶言子世苏楪哲兰.smali	581	http://schemas.android.com/apk/res/android
smali\androidx\compose\runtime\飘花落叶言子楪苏哲兰世.smali	119	). Please report to Google or use https://goo.gle/compose-feedback
smali\androidx\compose\runtime\飘花落叶言子楪苏哲兰世.smali	151	). Please report to Google or use https://goo.gle/compose-feedback
smali\androidx\profileinstaller\飘花落叶言子楪世兰哲苏.smali	7584	Requires new Baseline Profile Metadata. Please rebuild the APK with Android Gradle Plugin 7.2 Canary 7 or higher
smali\com\alibaba\fastjson2\schema\JSONSchema.smali	1671	http://json-schema.org/draft-04/schema#
smali\com\bumptech\glide\飘花落叶言子楪世哲兰苏.smali	4523	http://schemas.android.com/apk/res/android
smali\com\google\android\material\chip\Chip.smali	229	http://schemas.android.com/apk/res/android
smali\com\google\android\material\chip\Chip.smali	929	http://schemas.android.com/apk/res-auto
smali\com\google\protobuf\GeneratedMessage.smali	1917	\nAs of 2022/09/29 (release 21.7) makeExtensionsImmutable should not be called from protobuf gencode. If you are seeing this message, your gencode is vulnerable to a denial of service attack. You should regenerate your code using protobuf 25.6 or later. Use the latest version that meets your needs. However, if you understand the risks and wish to continue with vulnerable gencode, you can set the system property `-Dcom.google.protobuf.use_unsafe_pre22_gencode` on the command line to silence this warning. You also can set `-Dcom.google.protobuf.error_on_unsafe_pre22_gencode` to throw an error instead. See security vulnerability: https://github.com/protocolbuffers/protobuf/security/advisories/GHSA-h4h5-3hr4-j3g2
