function	callsite	destination	source	key_len	output_len	candidate_count	confidence	text
0x1BDD50	0x9C524	0x2A8F68	0x2F9E1	16	5	1	high	" 	
"
0x1C3A28	0xB3E60	0x2A9280	0x30579	17	17	1	high	manual_selection
0x1C698C	0xB6D04	0x2A94F4	0x31FC4	14	9	1	high	manager=
0x1CC8CC	0xBD830	0x2A9918	0x32DE2	23	9	1	high	, value=
0x1CC9D0	0xBD894	0x2A9928	0x32E30	20	24	1	high	, fallback=Tricky Store
0x1D3614	0xC0FF0	0x2A9E6C	0x33EEC	21	18	1	high	/data/data/88imei
0x1D3728	0xC1024	0x2A9E84	0x33F2E	25	17	1	high	/data/media/0/km
0x1D38D8	0xC1058	0x2A9E9C	0x33F78	25	14	1	high	/data/data/km
0x1DA744	0xB8824	0x2B1A44	0x3C6B8	17	20	1	high	/.ksu_susfs_runtime
0x1DA980	0xB887C	0x2B1A5C	0x3C6EF	10	40	1	high	 show enabled_features > /dev/null 2>&1
0x1DB978	0xC659C	0x2B1BD8	0x3CA15	22	25	1	high	getevent -lq 2>/dev/null
0x1DD588	0xC8D6C	0x2B1CFC	0x3CE51	18	11	1	high	  - [KPM] 
0x1DE018	0xC8F94	0x2B1DE4	0x3D038	30	19	1	high	跳过模块刷入
0x1E03EC	0xC9D7C	0x2B2394	0x3D8E9	10	29	1	high	"请使用音量键选择：
"
0x1E0754	0xC9DB8	0x2B23B8	0x3D937	21	37	1	high	"  音量上键：确认当前选项
"
0x1E09D4	0xC9DF4	0x2B23E4	0x3D997	11	31	1	high	"  音量下键：切换选项
"
0x1E0E24	0xC9F00	0x2B2450	0x3DA83	18	26	1	high	"  - Bootloader 已解锁
"
0x1E0FDC	0xC9F40	0x2B2470	0x3DAE3	31	27	1	high	"  - Bootloader 未解锁

"
0x1E1224	0xC9F78	0x2B2490	0x3DB56	30	18	1	high	当前选中 -> [
0x1E1C88	0xCA94C	0x2B2524	0x3DD2F	22	31	1	high	=> 已写入 BL 状态缓存: 
0x1E1ECC	0xCA9A4	0x2B2548	0x3DD9F	18	43	1	high	"=========================================
"
0x1E27C4	0xCBFD0	0x2B25E8	0x3DEEF	11	12	1	high	"  - Magisk
"
0x1E28D8	0xCC01C	0x2B25F8	0x3DF18	18	12	1	high	"  - APatch
"
0x1E2A84	0xCC05C	0x2B2608	0x3DF51	12	54	1	high	"  - KernelSU_NULL（KernelSU / SukiSU，无 SUSFS）
"
0x1E47B4	0xCDC50	0x2B28D8	0x3E53C	23	21	1	high	最新版本代码: 
